title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
2033,Indochine,10,2017,assets/covers/13.jpg,https://open.spotify.com/track/2q4AoaxIr6FbfWeOuVkyBF?si=efd6e63f83c74d6a,Moyenne,Joyeuse,Amour,Moyenne,Studio,Rythmée,2001-2024
3eme Sexe,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/6MShyf3EUHqQ04kJzovIni?si=c7753a2dd26d4b33,Longue,Joyeuse,Amour,Longue,Studio,Rythmée,1981-2001
Adora,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/4hWPp059VEM684FPUHgfmd?si=6080a01f896f489b,Moyenne,Neutre,Amour,Standard,Studio,Rythmée,2001-2024
Alice & June,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/0zG1EIHPwklmr5aomBqmUC?si=2a799e1203d74e89,Moyenne,Neutre,Autre,Standard,Studio,Rythmée,2001-2024
Annabelle Lee,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/6AO1oU7J9duZF3l54y7wRd?si=e8b14ab4f6b14e7e,Courte,Triste,Autre,Longue,Studio,Calme,2001-2024
Atomic Sky,Indochine,Dancetaria,1999,assets/covers/dancetaria.jpg,https://open.spotify.com/track/6Pezgs2V6zXGdeo8kruY6k?si=b5f402ce4f2f4e43,Courte,Triste,Amour,Standard,Studio,Calme,1981-2001
Babel Babel,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/6Wap0g1koHb3mgzNx6gdqj?si=0f38b223b3d84893,Longue,Neutre,Autre,Longue,Studio,Rythmée,2001-2024
Belfast,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/6rrl06R1LPr2mNEaeIaGWw?si=e949efca68934f58,Moyenne,Neutre,Amour,Longue,Studio,Rythmée,2001-2024
Black City Parade,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/3s5EuCOu7MhQvgDdLgZtCT?si=195a5189222f48b5,Moyenne,Neutre,Sexe,Moyenne,Studio,Rythmée,2001-2024
Black Page,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/1K4LRYuadl4bHOmeHDxAy0?si=2f53981e185b477d,Moyenne,Neutre,Amour,Standard,Studio,Rythmée,2001-2024
Black Sky,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/2Jqx1mOuD3HV1mRMqINKqB?si=3206e0c6774442b0,Longue,Joyeuse,Autre,Longue,Studio,Calme,2001-2024
Bye Bye Valentine,Indochine,La République des Météors,2009,assets/covers/meteors.jpg,https://open.spotify.com/track/5MmOUFMTYQAcuVvpjdijwu?si=1db9c73cdbde44fb,Moyenne,Triste,Amour,Moyenne,Studio,Calme,2001-2024
Canary Bay,Indochine,3,1985,assets/covers/3.jpg,https://open.spotify.com/track/3WOFIGsCzse0Wa3kd1UGG8?si=83d3ea22bb9d47e0,Courte,Joyeuse,Amour,Longue,Studio,Rythmée,1981-2001
Cartagène,Indochine,13,2017,assets/covers/13.jpg,https://open.spotify.com/track/22TsPA0lzEkVX1mkuSqNvr?si=da76fc7ef3c54964,Moyenne,Triste,Autre,Longue,Studio,Rythmée,2001-2024
Ceremonia,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/5V7Tj0JSw2L5sbZnon36qu?si=a91763f697f34fc8,Moyenne,Triste,Autre,Standard,Studio,Rythmée,2001-2024
College Boy,Indochine,Black City Parade,2013,assets/covers/bcp.jpg,https://open.spotify.com/track/0tUh3oNWe4l5eMkPi5ku85?si=f0dfd19eb1404abb,Courte,Triste,Autre,Moyenne,Studio,Calme,2001-2024
Crash Me,Indochine,Alice & June,2005,assets/covers/alice-june.jpg,https://open.spotify.com/track/59JhEuJF5B6qOVB09xWrXv?si=cf4bdc59a3624441,Courte,Triste,Amour,Longue,Studio,Rythmée,2001-2024
Des fleurs pour Salinger,Indochine,Le Baiser,1990,assets/covers/baiser.jpg,https://open.spotify.com/track/5B0CwHhUa4lSOzcgDINenE?si=b9f343fbb3f84c6e,Courte,Joyeuse,Autre,Standard,Studio,Rythmée,1981-2001
Dizzidence Politik,Indochine,L'aventurier,1982,assets/covers/aventurier.jpg,https://open.spotify.com/track/0ZWJaRdobxqKWLyaogP1yh?si=8a845043fcb3483c,Courte,Neutre,Autre,Standard,Studio,Rythmée,1981-2001
Drugstar,Indochine,Wax,1996,assets/covers/wax.jpg,https://open.spotify.com/track/4bmc1dWlNKNUb90RXQvvzV?si=41849f983d67485c,Courte,Joyeuse,Sexe,Standard,Studio,Rythmée,1981-2001
Dunkerque,Indochine,Paradize,2002,assets/covers/paradize.jpg,https://open.spotify.com/track/3GOnSNacho7v2GXw4LSv0m?si=9dfcd9af948949b4,Longue,Neutre,Amour,Longue,Studio,Rythmée,2001-2024
Electrastar,Indochine,Paradize,2002,assets/covers/paradize.jpg,https://open.spotify.com/track/2MwjiadFEkqSigDAnMsWrb?si=87f04adceded46de,Moyenne,Triste,Autre,Longue,Studio,Rythmée,2001-2024
En route vers le futur,Indochine,Babel Babel,2024,assets/covers/babel.jpg,https://open.spotify.com/track/4nsLwUXsshVX844BaCMcKp?si=72d2b666e5b24b8d,Courte,Joyeuse,Amour,Longue,Studio,Calme,2001-2024
